row,timestamp,speaker,text,sentiment,confidence
1,12:28:13,CLIENT,Everybody's talking about artificial intelligence.,Negative,84.0
2,12:28:17,CLIENT,"these days. AI, machine learning...",Positive,56.7
3,12:28:22,CLIENT,is another hot topic are they the same thing?,Negative,81.9
4,12:28:28,CLIENT,"or are they different? And if so, what are those differences and deep learning is another one that",Negative,60.1
5,12:28:38,CLIENT,"Artificial Intelligence, Machine Learning and Deep Learning And talked about where they fit",Positive,90.0
6,12:28:45,CLIENT,"There are a lot of comments on that, and I read those Comments. And i'd like to arrest some Of the most frequently asked questions So we can",Positive,63.1
7,12:28:50,CLIENT,clear up some of the myths and misconceptions around this.,Negative,75.1
8,12:28:55,CLIENT,was recorded. And that is the absolute explosion of this area of generative,Positive,85.8
9,12:29:05,CLIENT,"models, and chatbots have seemed to be taking over the world.",Negative,66.1
10,12:29:10,CLIENT,really interesting technology and then also things like deep fakes.,Negative,87.5
11,12:29:15,CLIENT,"are all within the realm of AI, but how do they fit?",Negative,95.3
12,12:29:22,CLIENT,within each other? How are they related to Each Other. We're going take a look at That in this video and try To explain,Negative,81.1
13,12:29:27,CLIENT,all these technologies relate and how we can use them.,Positive,94.1
