row,timestamp,speaker,text,sentiment,confidence
1,12:10:29,CLIENT,"Jab tak mera transformer khatm nahin bolta,",Negative,60.2
2,12:10:35,CLIENT,it's basically like an auto complete. Agar aap,Negative,71.1
3,12:10:43,CLIENT,Socho agar aap isko bahut optimally run karo that is what your GPT is doing. To jab aap GPT ke andar kuchh bhi,Positive,57.7
4,12:10:50,CLIENT,"Andar next word ko credit karta hai and poore process ko kab tak repeat karta hai jab tak, jab tak.",Neutral,74.3
5,12:10:58,CLIENT,Usse ek end nahin mil jaata. That is basically your transformer. Yah baat samajh aai. Ok.,Neutral,44.3
6,12:11:06,CLIENT,"You have input sequence, you get the next word prediction, usko aap vaapas upend kar to and you repeat this process.",Neutral,67.8
7,12:11:15,CLIENT,Bahut badhiya. Abhi transformer ko dekhate hain na ki transformer work kaise karta hai. Thik hai? Yah poora jo architecture hai kaise work,Negative,70.5
8,12:11:22,CLIENT,"Letter se agar hamne usko bola hey there, ok. Computer's ko na yah English,",Negative,52.9
9,12:11:30,CLIENT,"Nahin samajhaati. Right? Yah jo words hain jo abhi aapke saamne letters hain jo English ke letters hain, yah ham",Negative,73.8
10,12:11:38,CLIENT,"Computers ko samajh mein nahin aate computers ke lie more efficient hota hai maths, ok number.",Positive,57.5
11,12:11:44,CLIENT,Ki format mein pasand karte hain. So first step jo,Positive,54.8
